id,licitacao_id,fornecedor_id,retirou_edital,participou,habilitado,vencedor,coletado_em
107,59,107,false,true,true,,2026-03-28 16:25:19.921295+00
108,59,108,false,true,true,,2026-03-28 16:25:20.305518+00
109,59,61,false,true,true,,2026-03-28 16:25:20.69438+00
110,60,110,false,true,true,,2026-03-28 16:25:50.31622+00
111,60,111,false,true,true,,2026-03-28 16:25:50.68087+00
112,60,29,false,true,true,,2026-03-28 16:25:51.076683+00
113,60,113,false,true,true,,2026-03-28 16:25:51.59095+00
114,60,37,false,true,true,,2026-03-28 16:25:51.964705+00
115,60,115,false,true,true,,2026-03-28 16:25:52.355134+00
116,60,72,false,true,true,,2026-03-28 16:25:52.719985+00
117,60,117,false,true,true,,2026-03-28 16:25:53.105699+00
118,60,118,false,true,true,,2026-03-28 16:25:53.467755+00
