id,item_id,fornecedor_id,nr_empenho,ano,dt_empenho,valor_empenhado,coletado_em
75,6586,,112,2020,2020-02-21,,2026-03-29 15:49:50.573059+00
76,6586,,113,2020,2020-02-21,,2026-03-29 15:49:50.73916+00
77,6586,,114,2020,2020-02-21,,2026-03-29 15:49:50.905367+00
78,6586,,115,2020,2020-02-21,,2026-03-29 15:49:51.067711+00
79,6586,,116,2020,2020-02-21,,2026-03-29 15:49:51.234685+00
80,6586,,117,2020,2020-02-21,,2026-03-29 15:49:51.402283+00
81,6586,,118,2020,2020-02-21,,2026-03-29 15:49:51.566228+00
82,6586,,119,2020,2020-02-21,,2026-03-29 15:49:51.730297+00
83,6586,,120,2020,2020-02-21,,2026-03-29 15:49:51.895783+00
84,6586,,121,2020,2020-02-21,,2026-03-29 15:49:52.062542+00
85,6586,,122,2020,2020-02-21,,2026-03-29 15:49:52.230046+00
86,6586,,123,2020,2020-02-21,,2026-03-29 15:49:52.394311+00
87,6586,,124,2020,2020-02-21,,2026-03-29 15:49:52.556514+00
88,6586,,125,2020,2020-02-21,,2026-03-29 15:49:52.718623+00
89,6586,,138,2020,2020-03-12,,2026-03-29 15:49:52.881937+00
90,6586,,139,2020,2020-03-12,,2026-03-29 15:49:53.045781+00
91,6586,,140,2020,2020-03-12,,2026-03-29 15:49:53.209869+00
92,6586,,141,2020,2020-03-12,,2026-03-29 15:49:53.374768+00
93,6586,,311,2020,2020-06-05,,2026-03-29 15:49:53.541495+00
94,6586,,312,2020,2020-06-05,,2026-03-29 15:49:53.716322+00
95,6586,,313,2020,2020-06-05,,2026-03-29 15:49:53.878962+00
96,6586,,314,2020,2020-06-05,,2026-03-29 15:49:54.041513+00
97,6586,,315,2020,2020-06-05,,2026-03-29 15:49:54.207181+00
98,6586,,316,2020,2020-06-05,,2026-03-29 15:49:54.381098+00
99,6586,,317,2020,2020-06-05,,2026-03-29 15:49:54.546431+00
100,6586,,318,2020,2020-06-05,,2026-03-29 15:49:54.728215+00
